City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,yelizovo,53.1873,158.3805,13.08,100,20,1.0,RU,1690398193
257,pointe-noire,-4.7761,11.8635,21.35,91,12,3.45,CG,1690398194
258,brezovica,46.0333,14.4,15.36,90,93,0.93,SI,1690398194
259,stephenville,32.2207,-98.2023,38.2,28,40,4.63,US,1690398015
260,ulysses,37.5814,-101.3552,35.89,38,0,2.57,US,1690398194
261,khon buri,14.5254,102.2459,24.0,93,100,2.74,TH,1690398194
262,ghadamis,30.1337,9.5007,38.35,8,0,2.68,LY,1690398194
263,la'ie,21.6477,-157.9253,27.98,70,57,7.38,US,1690397754
264,balabac,7.9868,117.0645,28.47,77,100,7.71,PH,1690398195
265,pyt-yakh,60.7499,72.8582,16.18,94,100,2.64,RU,1690398195
266,morant bay,17.8815,-76.4093,34.84,72,100,5.41,JM,1690398195
267,enewetak,11.3474,162.3373,28.12,74,82,6.53,MH,1690398195
268,la ronge,55.1001,-105.2842,15.14,82,100,3.6,CA,1690398106
269,kudahuvadhoo,2.6708,72.8944,28.37,75,68,3.99,MV,1690397779
270,gwaram,11.2764,9.8858,30.75,40,100,3.04,NG,1690398196
271,queenstown,-31.8976,26.8753,14.39,51,98,2.04,ZA,1690398196
272,klyuchi,52.2667,79.1667,22.92,35,100,3.33,RU,1690398196
273,puerto baquerizo moreno,-0.9,-89.6,27.55,74,20,6.69,EC,1690398196
274,grand-lahou,5.1367,-5.0242,24.52,92,94,2.38,CI,1690398143
275,ust-tsilma,65.441,52.1498,14.41,88,14,1.02,RU,1690397724
276,anatuya,-28.4606,-62.8347,20.8,34,5,5.3,AR,1690398147
277,tweed heads,-28.1817,153.547,13.33,82,75,1.54,AU,1690398196
278,revda,56.801,59.9303,14.28,93,51,1.53,RU,1690398197
279,kourou,5.1552,-52.6478,27.03,67,21,3.61,GF,1690398197
280,alice springs,-23.7,133.8833,12.75,67,100,0.0,AU,1690398197
281,korce,40.6186,20.7808,17.91,67,0,2.37,AL,1690398031
282,staroyur'yevo,53.3161,40.7081,22.76,69,20,5.33,RU,1690398197
283,thisted,56.9552,8.6949,13.41,86,100,10.58,DK,1690398197
284,zinjibar,13.1287,45.3807,30.21,66,26,2.54,YE,1690398198
285,cuenca,-2.8833,-78.9833,24.07,38,20,3.6,EC,1690398050
286,prado,-17.3411,-39.2208,23.73,69,28,2.72,BR,1690398115
287,cabeza del buey,38.7223,-5.2195,32.84,12,0,1.85,ES,1690398199
288,koryazhma,61.3143,47.1691,15.5,84,100,2.85,RU,1690398199
